emoji,CLRDname,Index,count,first,last,posnetneg,total,unicodeorgmediumclass,unicodeorgbigclass,unicodeyear,userunknown,UnicodeAbstraction
\U0001f4df,:pager:,2018,1,2018-12-31,2010-01-01,,1,phone,Objects,2010,False,"u'\U0001F4DF',"
\U0001f37a,:beer_mug:,1712,9,2016-01-30,2017-11-11,,10,drink,Food & Drink,2010,False,"u'\U0001F37A',"
\U0001f401,:mouse:,1544,2,2018-12-31,2010-01-01,,2,animal-mammal,Animals & Nature,2010,False,"u'\U0001F401',"
\U0001f469,:woman:,235,15,2018-12-31,2010-01-01,,47,person-role,Smileys & People,2010,False,"u'\U0001F469 \U0001F3FB \U0000200D \U0001F373',"
\u2601,:cloud:,1904,3,2018-12-31,2010-01-01,,4,sky & weather,Travel & Places,1995,False,"u'\U00002601',"
\u2757,:exclamation_mark:,2277,4,2018-12-31,2010-01-01,,5,other-symbol,Symbols,2009,False,"u'\U00002757',"
\U0001f6e2,:oil_drum:,2149,2,2018-12-31,2010-01-01,,2,other-object,Objects,2014,False,"u'\U0001F6E2',"
\u2623,:biohazard:,2177,5,2016-05-13,2016-05-13,,5,warning,Symbols,1995,False,"u'\U00002623',"
\U0001f558,:nine_o’clock:,1879,3,2018-12-31,2010-01-01,,3,time,Travel & Places,2010,False,"u'\U0001F558',"
\U0001f57a,:man_dancing:,876,2,2017-05-17,2017-05-23,,2,person-activity,Smileys & People,2016,False,"u'\U0001F57A',"
\U0001f684,:high-speed_train:,1789,1,2018-12-31,2010-01-01,,1,transport-ground,Travel & Places,2010,False,"u'\U0001F684',"
\U0001f698,:oncoming_automobile:,1810,2,2016-03-24,2016-03-24,,2,transport-ground,Travel & Places,2010,False,"u'\U0001F698',"
\U0001f60d,:smiling_face_with_heart-eyes:,13,27,2015-06-21,2017-04-23,,32,face-positive,Smileys & People,2010,False,"u'\U0001F60D',"
\U0001f527,:wrench:,249,1,2018-12-31,2010-01-01,,1,person-role,Smileys & People,2010,False,"u'\U0001F469 \U0001F3FD \U0000200D \U0001F527',"
\U0001f301,:foggy:,1769,3,2018-12-31,2010-01-01,,3,place-other,Travel & Places,2010,False,"u'\U0001F301',"
\U0001f4d5,:closed_book:,2051,2,2018-12-31,2010-01-01,,2,book-paper,Objects,2010,False,"u'\U0001F4D5',"
\u2642,:male_sign:,715,10,2016-10-22,2017-08-27,,10,person-gesture,Smileys & People,2016,False,"u'\U0001F481 \U0001F3FB \U0000200D \U00002642 \U0000FE0F',"
\U0001f233,:Japanese_vacancy_button:,2330,1,2018-12-31,2010-01-01,,1,alphanum,Symbols,2010,False,"u'\U0001F233',"
\U0001f43b,:bear_face:,1552,17,2016-04-10,2016-07-21,,18,animal-mammal,Animals & Nature,2010,False,"u'\U0001F43B',"
\U0001f699,:sport_utility_vehicle:,1811,2,2018-12-31,2010-01-01,,2,transport-ground,Travel & Places,2010,False,"u'\U0001F699',"
\U0001f6a3,:person_rowing_boat:,1024,2,2017-05-26,2017-05-26,,2,person-sport,Smileys & People,2010,False,"u'\U0001F6A3 \U0001F3FC \U0000200D \U00002640 \U0000FE0F',"
\U0001f639,:cat_face_with_tears_of_joy:,98,7,2016-05-16,2017-07-08,,8,cat-face,Smileys & People,2010,False,"u'\U0001F639',"
\U0001f6ae,:litter_in_bin_sign:,2153,6,2018-12-31,2010-01-01,,6,transport-sign,Symbols,2010,False,"u'\U0001F6AE',"
\U0001f40e,:horse:,1523,2,2016-07-21,2016-07-21,,2,animal-mammal,Animals & Nature,2010,False,"u'\U0001F40E',"
\U0001f448,:backhand_index_pointing_left:,1249,10,2016-06-25,2017-04-12,,16,body,Smileys & People,2010,False,"u'\U0001F448 \U0001F3FF',"
\u270b,:raised_hand:,1318,14,2015-12-02,2017-11-09,,15,body,Smileys & People,2010,False,"u'\U0000270B \U0001F3FC',"
\U0001f201,:Japanese_here_button:,2318,2,2018-12-31,2010-01-01,,3,alphanum,Symbols,2010,False,"u'\U0001F201',"
\U0001f4c0,:dvd:,2031,1,2018-12-31,2010-01-01,,1,computer,Objects,2010,False,"u'\U0001F4C0',"
\u2764,:red_heart:,1200,48,2015-07-13,2017-10-23,,62,family,Smileys & People,1995,False,"u'\U0001F468 \U0000200D \U00002764 \U0000FE0F \U0000200D \U0001F48B \U0000200D \U0001F468',"
\U0001f941,:drum:,2013,1,2018-12-31,2010-01-01,,1,musical-instrument,Objects,2016,False,"u'\U0001F941',"
\U0001f4f8,:camera_with_flash:,2038,1,2018-12-31,2010-01-01,,4,light & video,Objects,2014,False,"u'\U0001F4F8',"
\U0001f518,:radio_button:,2350,8,2017-05-27,2017-05-27,,15,geometric,Symbols,2010,False,"u'\U0001F518',"
\U0001f4b6,:euro_banknote:,2070,2,2018-12-31,2010-01-01,,2,money,Objects,2010,False,"u'\U0001F4B6',"
\U0001f308,:rainbow:,1917,5,2016-05-12,2017-06-28,,21,sky & weather,Travel & Places,2010,False,"u'\U0001F308',"
\U0001f3d0,:volleyball:,1958,1,2018-12-31,2010-01-01,,1,sport,Activities,2015,False,"u'\U0001F3D0',"
\U0001f514,:bell:,1997,5,2016-07-14,2016-07-15,,6,sound,Objects,2010,False,"u'\U0001F514',"
\U0001f4cf,:straight_ruler:,2114,3,2018-12-31,2010-01-01,,3,office,Objects,2010,False,"u'\U0001F4CF',"
\u2755,:white_exclamation_mark:,2276,1,2018-12-31,2010-01-01,,1,other-symbol,Symbols,2010,False,"u'\U00002755',"
\U0001f622,:crying_face:,55,31,2016-01-09,2017-12-05,,37,face-negative,Smileys & People,2010,False,"u'\U0001F622',"
\U0001f6b7,:no_pedestrians:,2173,1,2018-12-31,2010-01-01,,1,warning,Symbols,2010,False,"u'\U0001F6B7',"
\U0001f3a6,:cinema:,2242,1,2018-12-31,2010-01-01,,1,av-symbol,Symbols,2010,False,"u'\U0001F3A6',"
\xae,:registered:,,52,2015-06-23,2017-09-24,,68,,,,False,
\U0001f560,:five-thirty:,1872,1,2018-12-31,2010-01-01,,1,time,Travel & Places,2010,False,"u'\U0001F560',"
\u2795,:heavy_plus_sign:,2263,2,2018-12-31,2010-01-01,,2,other-symbol,Symbols,2010,False,"u'\U00002795',"
\U0001f385,:Santa_Claus:,533,5,2015-12-25,2016-06-25,,5,person-fantasy,Smileys & People,2010,False,"u'\U0001F385 \U0001F3FF',"
\U0001f3c0,:basketball:,1957,2,2018-12-31,2010-01-01,,2,sport,Activities,2010,False,"u'\U0001F3C0',"
\U0001f3ee,:red_paper_lantern:,2049,1,2018-12-31,2010-01-01,,1,light & video,Objects,2010,False,"u'\U0001F3EE',"
\U0001f410,:goat:,1537,4,2016-06-21,2017-06-10,,4,animal-mammal,Animals & Nature,2010,False,"u'\U0001F410',"
\U0001f4fc,:videocassette:,2040,1,2018-12-31,2010-01-01,,1,light & video,Objects,2010,False,"u'\U0001F4FC',"
\U0001f49c,:purple_heart:,1456,6,2018-12-31,2010-01-01,,6,emotion,Smileys & People,2010,False,"u'\U0001F49C',"
\U0001f53d,:down_button:,2236,1,2018-12-31,2010-01-01,,1,av-symbol,Symbols,2010,False,"u'\U0001F53D',"
\u2b06,:up_arrow:,2178,4,2018-12-31,2010-01-01,,4,arrow,Symbols,2003,False,"u'\U00002B06',"
\U0001f393,:graduation_cap:,182,5,2018-12-31,2010-01-01,,5,person-role,Smileys & People,2010,False,"u'\U0001F468 \U0001F3FC \U0000200D \U0001F393',"
\U0001f4ef,:postal_horn:,1996,1,2018-12-31,2010-01-01,,1,sound,Objects,2010,False,"u'\U0001F4EF',"
\U0001f4dc,:scroll:,2060,1,2018-12-31,2010-01-01,,1,book-paper,Objects,2010,False,"u'\U0001F4DC',"
\u27bf,:double_curly_loop:,2267,2,2016-07-04,2016-07-04,,7,other-symbol,Symbols,2010,False,"u'\U000027BF',"
\U0001f5ef,:right_anger_bubble:,1472,1,2018-12-31,2010-01-01,,1,emotion,Smileys & People,2014,False,"u'\U0001F5EF',"
\U0001f4c6,:tear-off_calendar:,2102,1,2018-12-31,2010-01-01,,1,office,Objects,2010,False,"u'\U0001F4C6',"
\u26d1,:rescue_worker’s_helmet:,1503,1,2018-12-31,2010-01-01,,1,clothing,Smileys & People,2009,False,"u'\U000026D1',"
\U0001f55b,:twelve_o’clock:,1861,3,2018-12-31,2010-01-01,,3,time,Travel & Places,2010,False,"u'\U0001F55B',"
\U0001f3e0,:house:,1744,1,2018-12-31,2010-01-01,,1,place-building,Travel & Places,2010,False,"u'\U0001F3E0',"
\U0001f345,:tomato:,1635,2,2018-12-31,2010-01-01,,2,food-fruit,Food & Drink,2010,False,"u'\U0001F345',"
\U0001f47d,:alien:,92,15,2016-05-02,2017-06-01,,15,face-fantasy,Smileys & People,2010,False,"u'\U0001F47D',"
\U0001f31a,:new_moon_face:,1894,12,2016-06-27,2017-02-04,,12,sky & weather,Travel & Places,2010,False,"u'\U0001F31A',"
\U0001f64d,:person_frowning:,641,4,2015-03-04,2015-03-04,,4,person-gesture,Smileys & People,2010,False,"u'\U0001F64D \U0001F3FF',"
\U0001f19a,:VS_button:,2317,2,2018-12-31,2010-01-01,,2,alphanum,Symbols,2010,False,"u'\U0001F19A',"
\U0001f68f,:bus_stop:,1818,1,2018-12-31,2010-01-01,,1,transport-ground,Travel & Places,2010,False,"u'\U0001F68F',"
\u2712,:black_nib:,2091,1,2018-12-31,2010-01-01,,1,writing,Objects,1995,False,"u'\U00002712',"
\U0001f93d,:person_playing_water_polo:,1146,1,2018-12-31,2010-01-01,,1,person-sport,Smileys & People,2016,False,"u'\U0001F93D \U0001F3FF',"
\u26d4,:no_entry:,2167,1,2018-12-31,2010-01-01,,1,warning,Symbols,2009,False,"u'\U000026D4',"
\U0001f60b,:face_savouring_delicious_food:,11,30,2015-07-02,2017-12-07,,32,face-positive,Smileys & People,2010,False,"u'\U0001F60B',"
\U0001f315,:full_moon:,1889,3,2018-12-31,2010-01-01,,4,sky & weather,Travel & Places,2010,False,"u'\U0001F315',"
\U0001f563,:eight-thirty:,1878,1,2018-12-31,2010-01-01,,1,time,Travel & Places,2010,False,"u'\U0001F563',"
\U0001f3c8,:american_football:,1959,2,2018-12-31,2010-01-01,,2,sport,Activities,2010,False,"u'\U0001F3C8',"
\U0001f984,:unicorn_face:,1524,15,2016-06-17,2017-05-16,,16,animal-mammal,Animals & Nature,2015,False,"u'\U0001F984',"
\U0001f525,:fire:,1927,39,2016-04-03,2017-12-08,,165,sky & weather,Travel & Places,2010,False,"u'\U0001F525',"
\U0001f388,:balloon:,1935,5,2015-03-09,2017-10-02,,5,event,Activities,2010,False,"u'\U0001F388',"
\U0001f51b,:ON!_arrow:,2196,2,2018-12-31,2010-01-01,,2,arrow,Symbols,2010,False,"u'\U0001F51B',"
\U0001f6b8,:children_crossing:,2166,2,2018-12-31,2010-01-01,,2,warning,Symbols,2010,False,"u'\U0001F6B8',"
\U0001f3f0,:castle:,1758,1,2018-12-31,2010-01-01,,1,place-building,Travel & Places,2010,False,"u'\U0001F3F0',"
\U0001f913,:nerd_face:,84,29,2015-12-10,2017-07-30,,32,face-role,Smileys & People,2015,False,"u'\U0001F913',"
\u26a0,:warning:,2165,4,2016-10-03,2016-10-03,,4,warning,Symbols,2003,False,"u'\U000026A0',"
\u21a9,:right_arrow_curving_left:,2188,4,2017-05-28,2017-05-28,,6,arrow,Symbols,1995,False,"u'\U000021A9',"
\U0001f250,:Japanese_bargain_button:,2323,3,2018-12-31,2010-01-01,,6,alphanum,Symbols,2010,False,"u'\U0001F250',"
\U0001f4d3,:notebook:,2057,3,2017-06-12,2017-06-12,,3,book-paper,Objects,2010,False,"u'\U0001F4D3',"
\U0001f467,:girl:,1211,4,2018-12-31,2010-01-01,,27,family,Smileys & People,2010,False,"u'\U0001F468 \U0000200D \U0001F469 \U0000200D \U0001F467 \U0000200D \U0001F467',"
\U0001f33e,:sheaf_of_rice:,227,1,2018-12-31,2010-01-01,,1,person-role,Smileys & People,2010,False,"u'\U0001F469 \U0001F3FF \U0000200D \U0001F33E',"
\U0001f444,:mouth:,1443,11,2016-06-21,2016-07-03,,11,body,Smileys & People,2010,False,"u'\U0001F444',"
\u23ea,:fast_reverse_button:,2232,3,2016-07-04,2016-07-04,,3,av-symbol,Symbols,2010,False,"u'\U000023EA',"
\U0001f416,:pig:,1532,10,2017-10-02,2017-10-02,,10,animal-mammal,Animals & Nature,2010,False,"u'\U0001F416',"
\U0001f6b4,:person_biking:,1099,5,2016-06-24,2016-06-24,,5,person-sport,Smileys & People,2010,False,"u'\U0001F6B4 \U0001F3FF \U0000200D \U00002640 \U0000FE0F',"
\U0001f608,:smiling_face_with_horns:,85,22,2015-09-23,2017-09-23,,50,face-fantasy,Smileys & People,2010,False,"u'\U0001F608',"
\U0001f920,:cowboy_hat_face:,78,2,2017-05-03,2017-06-26,,2,face-role,Smileys & People,2016,False,"u'\U0001F920',"
\u2716,:heavy_multiplication_x:,2260,6,2015-08-27,2017-02-02,,6,other-symbol,Symbols,1995,False,"u'\U00002716',"
\U0001f3c4,:person_surfing:,992,5,2017-05-20,2017-05-21,,5,person-sport,Smileys & People,2010,False,"u'\U0001F3C4',"
\U0001f645,:person_gesturing_NO:,681,4,2018-12-31,2010-01-01,,4,person-gesture,Smileys & People,2010,False,"u'\U0001F645 \U0001F3FD \U0000200D \U00002642 \U0000FE0F',"
\U0001f33d,:ear_of_corn:,1641,5,2015-07-19,2016-08-01,,6,food-vegetable,Food & Drink,2010,False,"u'\U0001F33D',"
\U0001f4ba,:seat:,1839,1,2018-12-31,2010-01-01,,1,transport-air,Travel & Places,2010,False,"u'\U0001F4BA',"
\U0001f63d,:kissing_cat_face_with_closed_eyes:,101,7,2016-07-07,2017-03-10,,7,cat-face,Smileys & People,2010,False,"u'\U0001F63D',"
\U0001f5fa,:world_map:,1727,1,2016-06-24,2016-06-24,,1,place-map,Travel & Places,2014,False,"u'\U0001F5FA',"
\U0001f37c,:baby_bottle:,1703,2,2016-07-12,2016-07-12,,2,drink,Food & Drink,2010,False,"u'\U0001F37C',"
\U0001f197,:OK_button:,2313,3,2018-12-31,2010-01-01,,3,alphanum,Symbols,2010,False,"u'\U0001F197',"
\u231a,:watch:,1856,3,2018-12-31,2010-01-01,,3,time,Travel & Places,1995,False,"u'\U0000231A',"
\U0001f390,:wind_chime:,1942,1,2018-12-31,2010-01-01,,1,event,Activities,2010,False,"u'\U0001F390',"
\U0001f642,:slightly_smiling_face:,19,52,2015-12-08,2017-11-10,,53,face-positive,Smileys & People,2014,False,"u'\U0001F642',"
\U0001f526,:flashlight:,2048,1,2018-12-31,2010-01-01,,1,light & video,Objects,2010,False,"u'\U0001F526',"
\U0001f31b,:first_quarter_moon_with_face:,1895,2,2018-12-31,2010-01-01,,2,sky & weather,Travel & Places,2010,False,"u'\U0001F31B',"
\U0001f62c,:grimacing_face:,62,40,2015-07-16,2017-09-22,,41,face-negative,Smileys & People,2012,False,"u'\U0001F62C',"
\U0001f4eb,:closed_mailbox_with_raised_flag:,2084,1,2018-12-31,2010-01-01,,1,mail,Objects,2010,False,"u'\U0001F4EB',"
\u2139,:information:,2307,2,2018-12-31,2010-01-01,,2,alphanum,Symbols,2000,False,"u'\U00002139',"
\U0001f472,:man_with_Chinese_cap:,467,3,2018-12-31,2010-01-01,,3,person-role,Smileys & People,2010,False,"u'\U0001F472 \U0001F3FF',"
\u26f4,:ferry:,1832,1,2018-12-31,2010-01-01,,1,transport-water,Travel & Places,2009,False,"u'\U000026F4',"
\u26e9,:shinto_shrine:,1765,1,2016-06-24,2016-06-24,,1,place-religious,Travel & Places,2009,False,"u'\U000026E9',"
\U0001f63e,:pouting_cat_face:,104,6,2016-07-08,2017-03-10,,6,cat-face,Smileys & People,2010,False,"u'\U0001F63E',"
